summary,id,issue_type,priority,severity,story_points,sprint_id,created_at,resolved_at,actual_completed_rank,status
"Toolbar: After rebase children in source tree window and after that 'git push -f' CLI, +1 notification appears for both push and pull",SRCTREEWIN-13853,bug,low,minor,6,22,23-May-22,,,To Do
SourceTree 3.4.8 keep crashing,SRCTREEWIN-13852,bug,low,major,7,15,20-May-22,4-Jan-23,32142,Done
"Add a big ""continue rebase"" button on the screen after resolving conflicts.",SRCTREEWIN-13851,suggestion,low,,3,16,19-May-22,,,To Do
Copy Paste from History takes ages,SRCTREEWIN-13850,bug,low,minor,8,18,19-May-22,,,To Do
Sourcetree keeps crashing,SRCTREEWIN-13849,bug,low,minor,2,27,17-May-22,,,To Do
Can't clone repository,SRCTREEWIN-13848,bug,low,major,8,14,17-May-22,18-May-22,32146,Done
"Jump to ""History"" after each commit?",SRCTREEWIN-13847,bug,low,major,8,6,14-May-22,,,To Do
CVE-2018-1002206 (SharpCompress.dll),SRCTREEWIN-13846,bug,low,minor,4,16,13-May-22,31-May-22,32148,Done
Horizontal Scroll for MouseWheel Event,SRCTREEWIN-13845,suggestion,low,,6,4,10-May-22,,,To Do
Performance down by magnitudes on certain SSDs or ports,SRCTREEWIN-13844,bug,low,critical,8,17,6-May-22,,,To Do
Git-LFS Not supported,SRCTREEWIN-13843,bug,low,major,1,3,6-May-22,26-May-22,32151,Done
Context Menu slow with large repository with many branches,SRCTREEWIN-13842,suggestion,low,,5,15,6-May-22,,,To Do
Use of BitBucket App Password in Source Tree,SRCTREEWIN-13840,suggestion,low,,5,14,5-May-22,,,To Do
SourceTree Shortcut Start In path invalid,SRCTREEWIN-13839,bug,low,minor,3,25,2-May-22,,,To Do
Log Selected Fails to show and causes full crash,SRCTREEWIN-13837,bug,low,major,7,30,27-Apr-22,,,Done
Cannot open multiple repos with same name,SRCTREEWIN-13836,bug,low,major,7,15,25-Apr-22,,,To Do
Keeps losing credentials,SRCTREEWIN-13835,bug,low,major,5,16,23-Apr-22,,,To Do
Allow Multiselect Cherry-pick using Interactive Rebase,SRCTREEWIN-13834,suggestion,low,,5,7,21-Apr-22,25-Apr-22,32158,Done
Allow Multiselect Cherry-pick using Interactive Rebase,SRCTREEWIN-13833,suggestion,low,,8,10,20-Apr-22,,,To Do
Clone Remote - Failure to validate/accept remote repository path,SRCTREEWIN-13832,bug,low,critical,1,27,19-Apr-22,,,To Do
Branches are no longer fetched with my remote,SRCTREEWIN-13831,bug,low,minor,5,4,19-Apr-22,28-Apr-22,32161,Done
source tree closing when adding new clone,SRCTREEWIN-13830,bug,low,major,1,23,15-Apr-22,,,To Do
Sourcetree Update broke authentication,SRCTREEWIN-13829,bug,low,critical,2,8,14-Apr-22,,,To Do
Tries to open xaml files with internet explorer,SRCTREEWIN-13828,bug,low,minor,7,17,14-Apr-22,,,To Do
Cannot update embedded git to v2.35.2 on windows sourcetree v3.4.8,SRCTREEWIN-13827,bug,low,major,4,24,14-Apr-22,31-May-22,32165,Done
Sourcetree for Windows crash after a few seconds.,SRCTREEWIN-13825,bug,low,major,7,4,13-Apr-22,,,To Do
Add a confirm before aborting a rebase,SRCTREEWIN-13824,suggestion,low,,4,6,13-Apr-22,,,To Do
Remote repositories are not listing all repositories,SRCTREEWIN-13823,bug,low,major,4,21,11-Apr-22,4-Jan-23,32168,Done
Automatic refresh OAuth token,SRCTREEWIN-13822,bug,low,minor,1,25,8-Apr-22,,,To Do
App crash trying to add existing repo,SRCTREEWIN-13821,bug,low,major,7,16,7-Apr-22,,,To Do
Show full project name in top bar,SRCTREEWIN-13820,suggestion,low,,4,19,6-Apr-22,,,future-consideration
Force Push does not work anymore,SRCTREEWIN-13819,bug,low,major,8,5,4-Apr-22,,,To Do
Windows context menu colors for dark theme,SRCTREEWIN-13818,bug,low,minor,2,10,1-Apr-22,7-Mar-23,32173,Done
sync the repository URLs and certifications to the atlssian account(or other cloud),SRCTREEWIN-13817,suggestion,low,,3,15,1-Apr-22,,,To Do
Support checkout of file at version in log view,SRCTREEWIN-13816,suggestion,low,,4,2,30-Mar-22,,,To Do
Can not clone bitbucket Repo,SRCTREEWIN-13815,bug,low,major,8,6,29-Mar-22,,,To Do
Untracked branches cannot be pushed,SRCTREEWIN-13814,bug,high,critical,5,28,29-Mar-22,,,To Do
Wrong Base64 Encoding - Sourcetree Authentication failed if password contains special characters (§ and german umlauts),SRCTREEWIN-13813,bug,low,major,2,25,28-Mar-22,,,To Do
Checkbox 'push changes immediately' is greyed out and cannot be activated,SRCTREEWIN-13812,bug,low,minor,2,9,25-Mar-22,,,To Do
Push screen does not show tracked branches,SRCTREEWIN-13811,bug,low,major,6,21,24-Mar-22,,,To Do
"App passsword works to get project list, but not read remote directory",SRCTREEWIN-13810,bug,low,critical,5,19,23-Mar-22,,,To Do
Ability to customize the font size of the interface,SRCTREEWIN-13809,suggestion,low,,2,13,23-Mar-22,,,To Do
Can't clone Bitbucket private repo on sourcetree,SRCTREEWIN-13808,bug,low,critical,2,20,22-Mar-22,,,To Do
Tabs are not show when restart SourceTree.,SRCTREEWIN-13807,bug,low,major,5,25,21-Mar-22,,,To Do
Cannot add custom action,SRCTREEWIN-13806,bug,low,major,7,17,20-Mar-22,,,To Do
Cannot execute Sourcetree after install...,SRCTREEWIN-13805,bug,low,critical,5,2,18-Mar-22,13-Jan-23,32186,Done
Push extremely slow,SRCTREEWIN-13804,bug,low,minor,4,20,18-Mar-22,,,To Do
Bitbucket Oauth and Basic Authentication Not Working After Following Resolution Steps,SRCTREEWIN-13803,bug,low,major,5,29,17-Mar-22,,,To Do
Window starts halfway out of the screen (multiple screens),SRCTREEWIN-13802,bug,low,minor,4,25,17-Mar-22,,,To Do
Select which account to use when cloning a repository,SRCTREEWIN-13801,suggestion,low,,3,9,17-Mar-22,,,To Do
SourceTree - closes soon after the application starts.,SRCTREEWIN-13800,bug,low,major,3,15,16-Mar-22,,,To Do
Resolve Conflicts -> Mine/Theirs when popping from Stash both confirm commit id of last commit,SRCTREEWIN-13799,bug,low,minor,4,22,15-Mar-22,,,To Do
App Password is not working for an overseas user,SRCTREEWIN-13797,bug,low,critical,2,8,14-Mar-22,,,To Do
Custom Action Bug happened between version 3.4.5 and 3.4.6 (trusted_tester),SRCTREEWIN-13796,bug,low,major,2,17,8-Mar-22,,,To Do
Navigate back or forward,SRCTREEWIN-13795,suggestion,low,,2,13,7-Mar-22,,,To Do
Exception while tracking LFS extensions,SRCTREEWIN-13792,bug,low,major,7,29,1-Mar-22,,,To Do
Make it easier to see Added Files,SRCTREEWIN-13791,suggestion,low,,3,16,26-Feb-22,,,To Do
Branches arrangement,SRCTREEWIN-13790,suggestion,low,,5,5,22-Feb-22,,,To Do
Selected commit being reset when dragging SourceTree to other display,SRCTREEWIN-13789,bug,low,minor,3,4,22-Feb-22,,,To Do
"Old version of Pageant included with SourceTree 3.4.7, causes key loss",SRCTREEWIN-13788,bug,low,major,5,4,20-Feb-22,,,To Do
Default for Production branch in GitFlow should be main not master,SRCTREEWIN-13787,bug,low,minor,8,30,18-Feb-22,,,To Do
"OAuth Fails, Unable to get Secret",SRCTREEWIN-13786,bug,low,major,2,21,18-Feb-22,,,To Do
SourceTree Windows app crashes upon launch,SRCTREEWIN-13785,bug,low,minor,2,13,14-Feb-22,18-Feb-22,32203,Done
Launch SSH agent fails code -1 with system git and OpenSSH,SRCTREEWIN-13784,bug,low,major,2,24,13-Feb-22,,,To Do
case sensitivity,SRCTREEWIN-13783,bug,low,minor,6,2,9-Feb-22,,,To Do
Sourcetree error: Too many invalid password attempts. The requested URL returned error: 403,SRCTREEWIN-13782,bug,low,major,6,7,7-Feb-22,,,To Do
Typing Commit Messages,SRCTREEWIN-13779,suggestion,low,,2,16,6-Feb-22,,,To Do
Failed to list repositories for user [xxxxx],SRCTREEWIN-13777,bug,low,critical,6,25,5-Feb-22,7-Feb-22,32208,Done
ssh-agent.exe taks to much CPU,SRCTREEWIN-13776,bug,medium,minor,1,20,4-Feb-22,,,To Do
Local Repositories  Bookmark Bar does not refresh,SRCTREEWIN-13774,bug,low,minor,2,20,2-Feb-22,,,To Do
Force push on repository with submodules does not work,SRCTREEWIN-13773,bug,low,minor,5,26,1-Feb-22,,,To Do
Stash view should show dates,SRCTREEWIN-13772,suggestion,low,,7,23,30-Jan-22,,,To Do
Clone crash when I put URL with SourceTree V3.4.7,SRCTREEWIN-13771,bug,low,major,6,24,26-Jan-22,,,To Do
SourceTree Windows app crashes while cloning if GitHub repo is empty,SRCTREEWIN-13769,bug,low,major,1,23,24-Jan-22,25-Jan-22,32214,Done
Cloning Bitbucket Server Repo via HTTP crashes SourceTree app,SRCTREEWIN-13768,bug,low,major,4,28,24-Jan-22,25-Jan-22,32215,Done
branches checked out in different worktree not shown in the left panel,SRCTREEWIN-13767,bug,low,major,5,24,20-Jan-22,,,To Do
Stashes diff view only show one file,SRCTREEWIN-13766,bug,low,major,2,17,18-Jan-22,,,To Do
SourceTree does not start (as.atlassian.com),SRCTREEWIN-13765,bug,low,critical,1,17,16-Jan-22,19-Jan-22,32218,Done
Source Tree overlapping Taskbar Windows 11,SRCTREEWIN-13764,bug,low,minor,2,9,14-Jan-22,,,To Do
Accounts for remote repo fails to connect,SRCTREEWIN-13763,bug,low,major,6,30,12-Jan-22,9-Mar-22,32220,Done
"can not access repositories, authentication always fails",SRCTREEWIN-13762,bug,low,major,4,25,11-Jan-22,,,To Do
Authentication Failed - Unable to resolve,SRCTREEWIN-13761,bug,low,major,8,2,10-Jan-22,,,To Do
http.proxy set to www.google.com:80 when set proxy to OS default,SRCTREEWIN-13760,bug,low,minor,2,12,5-Jan-22,,,To Do
Please make warning LESS SCARY about a detached head,SRCTREEWIN-13759,suggestion,low,,5,25,4-Jan-22,,,To Do
Bug in listing bitbucket repos,SRCTREEWIN-13758,bug,low,critical,7,30,4-Jan-22,9-Mar-22,32225,Done
Spaces in File path of Custom Action,SRCTREEWIN-13757,bug,low,minor,7,12,3-Jan-22,,,To Do
Failed to start (System.BadImageFormatException),SRCTREEWIN-13756,bug,low,major,1,20,3-Jan-22,,,To Do
commit view show in branchs,SRCTREEWIN-13755,suggestion,low,,2,7,25-Dec-21,,,To Do
Add extended integration with Team Foundation Server (TFS) 2015 and Visual Studio Online,SRCTREEWIN-13754,suggestion,low,,6,27,23-Dec-21,,,To Do
Sourcetree is using /2.0/teams endpoint to fetch list of repositories user has access to,SRCTREEWIN-13753,suggestion,low,,8,6,23-Dec-21,9-Mar-22,32230,Done
git.exe fsmonitor process did not exit after close sourcetree,SRCTREEWIN-13752,bug,low,major,2,26,20-Dec-21,,,To Do
Crash when clone remote EMPTY (private) GitHUB repository,SRCTREEWIN-13751,bug,low,major,3,18,19-Dec-21,9-Mar-22,32232,Done
Log 4j vulnerability,SRCTREEWIN-13749,bug,low,critical,3,10,16-Dec-21,,,To Do
SourceTree\app-3.4.7\log4net.dll,SRCTREEWIN-13748,suggestion,low,,3,3,16-Dec-21,9-Mar-22,32234,Done
Sourcetree Graphics Problems,SRCTREEWIN-13747,bug,low,major,2,8,10-Dec-21,,,To Do
Sourcetree crash on startup,SRCTREEWIN-13746,bug,low,critical,5,12,10-Dec-21,,,To Do
Sourcetree Stop during Clone -> advanced setting,SRCTREEWIN-13745,bug,low,major,8,17,9-Dec-21,,,To Do
SourceTree doesn't support GBK encoding format files.,SRCTREEWIN-13743,suggestion,low,,4,18,8-Dec-21,,,To Do
Multiple keys with same alias.,SRCTREEWIN-13742,bug,low,minor,4,22,8-Dec-21,,,To Do
Source Tree is Crashing without any message while cloning remote repository.,SRCTREEWIN-13741,bug,low,critical,2,15,7-Dec-21,,,To Do
Add ability to copy list of file from commit and url for commit,SRCTREEWIN-13740,suggestion,low,,5,18,7-Dec-21,,,To Do
Make Linux version available,SRCTREEWIN-13739,suggestion,low,,3,26,7-Dec-21,,,To Do
Errors During Installation,SRCTREEWIN-13738,bug,low,minor,2,19,6-Dec-21,,,To Do
Folder icons for Local repositories overlap text,SRCTREEWIN-13737,bug,low,minor,3,6,1-Dec-21,,,To Do
Cannot Remove Keys from SSH Agent,SRCTREEWIN-13736,bug,low,minor,1,21,29-Nov-21,,,To Do
Versionstring not update after auto-update,SRCTREEWIN-13735,bug,low,minor,7,8,28-Nov-21,,,To Do
Cloning a repository that doesn't contain any branch and commit crashes the app,SRCTREEWIN-13734,bug,low,major,4,25,27-Nov-21,,,To Do
Denial of service when cloning an empty git repository,SRCTREEWIN-13733,bug,low,minor,8,10,26-Nov-21,9-Mar-22,32248,Done
graphic artifacts,SRCTREEWIN-13732,bug,low,major,5,3,23-Nov-21,,,To Do
Error at cloning Repository,SRCTREEWIN-13731,bug,low,minor,5,4,22-Nov-21,,,To Do
Sourcetree crashes when trying to pull a repository (after  being recognized as a valid git repository),SRCTREEWIN-13730,bug,low,major,8,13,21-Nov-21,,,To Do
Userpics in commits,SRCTREEWIN-13729,bug,low,minor,4,23,19-Nov-21,,,Done
SourceTree crashes while trying to clone empty repository,SRCTREEWIN-13728,bug,low,minor,8,9,19-Nov-21,9-Mar-22,32253,Done
Update-Dialog unreadable in Dark-mode,SRCTREEWIN-13727,bug,low,minor,5,10,18-Nov-21,31-May-22,32254,Done
SourceTree doesn't open nor reinstall (after Windows 10 Update),SRCTREEWIN-13726,bug,low,critical,7,11,17-Nov-21,,,To Do
Diff view: Show whitespace should display a different symbol for tabs,SRCTREEWIN-13725,suggestion,low,,3,17,15-Nov-21,,,To Do
"In Windows 11 environment, minimizing the program and maximizing the program again will cause the page to crash",SRCTREEWIN-13724,bug,low,minor,7,28,15-Nov-21,,,To Do
unable to use sourcetree,SRCTREEWIN-13723,bug,low,critical,2,21,14-Nov-21,,,To Do
Choosing resolve using mine asks me to confirm that I want to resolve using theirs,SRCTREEWIN-13722,bug,low,major,1,6,13-Nov-21,,,To Do
V3.4.6 crashes in Clone dialog,SRCTREEWIN-13721,bug,low,critical,1,17,12-Nov-21,,,To Do
Issues when trtying to Authenticate.,SRCTREEWIN-13720,bug,low,minor,4,24,10-Nov-21,,,To Do
Issue with local repositories and tabs at startup,SRCTREEWIN-13719,bug,low,major,7,13,9-Nov-21,,,To Do
Issue with local repositories and tabs at startup,SRCTREEWIN-13717,bug,low,major,6,23,8-Nov-21,,,To Do
Graphics issues when mousing over the interface,SRCTREEWIN-13715,bug,low,minor,1,17,3-Nov-21,,,To Do
Pin Favourite Files in SourceTree,SRCTREEWIN-13714,suggestion,low,,8,6,2-Nov-21,,,To Do
"Buttons getting disappeared.. while I hover on commit,pull,fetch,stash..",SRCTREEWIN-13713,bug,low,critical,2,18,2-Nov-21,,,To Do
Unable to stage files or trunks when accented letters are present in the code,SRCTREEWIN-13712,bug,low,critical,7,13,27-Oct-21,,,To Do
[Major Annoying] Fix index position is reset in the list of Unstaged Files,SRCTREEWIN-13711,suggestion,low,,7,5,21-Oct-21,,,To Do
Sourcetree does not let me push to remote branch from by local branch,SRCTREEWIN-13710,bug,low,major,8,6,21-Oct-21,,,To Do
Cannot login during app start - webpage is down,SRCTREEWIN-13709,bug,low,major,8,10,21-Oct-21,,,To Do
"Track of ""Clean"" files doesn't work",SRCTREEWIN-13708,bug,low,critical,1,15,13-Oct-21,,,To Do
"""Clear all changes"" button",SRCTREEWIN-13707,suggestion,low,,1,30,7-Oct-21,,,To Do
"Visually and consistently distinguish the ""main"" branch",SRCTREEWIN-13706,suggestion,low,,7,13,5-Oct-21,,,To Do
Text unreadable on password edit dialog in dark theme,SRCTREEWIN-13705,bug,low,minor,8,5,29-Sep-21,9-Mar-22,32274,Done
Commit button will not commit when adding a file,SRCTREEWIN-13704,bug,low,critical,5,9,27-Sep-21,,,To Do
"I hope you can add the function of jumping to the corresponding submission according to the ""Sha value"" in the submission description",SRCTREEWIN-13703,suggestion,low,,7,23,26-Sep-21,,,To Do
Crash on editing remote,SRCTREEWIN-13702,bug,low,critical,4,21,24-Sep-21,,,To Do
"Stash + ""Keep staged changes"" does not keep changes",SRCTREEWIN-13701,bug,low,minor,1,20,14-Sep-21,,,To Do
Sourcetree crashes,SRCTREEWIN-13699,bug,low,critical,8,23,13-Sep-21,18-Nov-21,32279,Done
Discarding multiple unstaged files consumes too much memory,SRCTREEWIN-13697,suggestion,low,,4,17,1-Sep-21,,,To Do
Sourcetree is shipping outdated putty binaries,SRCTREEWIN-13696,bug,low,major,1,14,26-Aug-21,9-Mar-22,32281,Done
Move existing tag always fails with error,SRCTREEWIN-13695,bug,low,minor,4,1,25-Aug-21,,,To Do
End the program when cloning from empty remote repository.,SRCTREEWIN-13694,bug,low,minor,7,8,25-Aug-21,,,To Do
Commit message enhancement,SRCTREEWIN-13689,suggestion,low,,2,16,24-Aug-21,,,To Do
Open local repository by drag & drop does not work since 3.4.2,SRCTREEWIN-13688,bug,low,minor,1,13,24-Aug-21,,,To Do
Can't install sourceTree v. 1.9.13.7,SRCTREEWIN-13687,bug,low,major,1,21,23-Aug-21,,,To Do
"Context menu options disappear, font is blurry",SRCTREEWIN-13686,bug,low,minor,1,28,23-Aug-21,,,To Do
Checksummed file size doesn't match during update,SRCTREEWIN-13683,bug,low,major,8,29,21-Aug-21,23-Aug-21,32288,Done
Checksummed file size doesn't match during update,SRCTREEWIN-13682,bug,low,major,8,25,19-Aug-21,23-Aug-21,32289,Done
Increase the size of this button,SRCTREEWIN-13681,suggestion,low,,1,6,18-Aug-21,31-May-22,32290,Done
"Unable to Run/Re-install Sourcetree - ""Sourcetree has stopped working""",SRCTREEWIN-13680,bug,low,major,1,1,18-Aug-21,,,To Do
Checksum error on update,SRCTREEWIN-13679,bug,low,critical,7,28,18-Aug-21,20-Aug-21,32292,Done
Source Tree for windows - v3.4.5:  security Vulnerability CVE-2018-1285 for log4net,SRCTREEWIN-13678,bug,low,critical,8,5,18-Aug-21,9-Mar-22,32293,Done
【crash】Cloning a newly created Gitlib project without branches or files sourcetree will crash,SRCTREEWIN-13677,bug,low,critical,3,18,12-Aug-21,,,To Do
【crash】Cloning a newly created Gitlib project without branches or files sourcetree will crash,SRCTREEWIN-13676,bug,low,minor,8,21,12-Aug-21,,,To Do
Dictionary file blocks Sourcetree 2.3.1 from starting up,SRCTREEWIN-13675,bug,medium,major,5,6,9-Aug-21,11-Nov-21,32296,Done
Identification,SRCTREEWIN-13674,bug,low,minor,7,28,3-Aug-21,,,To Do
Context Menü on Files very unresponsive when LFS is activated on Repository,SRCTREEWIN-13672,bug,low,major,3,19,23-Jul-21,,,To Do
Resolve the problem with github OAuth authentification,SRCTREEWIN-13671,bug,low,critical,7,5,22-Jul-21,,,To Do
GUI glitch for many buttons,SRCTREEWIN-13670,bug,low,major,6,27,22-Jul-21,,,To Do
Tab (bar) position,SRCTREEWIN-13669,suggestion,low,,2,21,21-Jul-21,,,To Do
Closing a branch with one commit does not create a new commit,SRCTREEWIN-13668,bug,low,minor,4,21,20-Jul-21,,,To Do
SourceTree Auto off,SRCTREEWIN-13666,bug,low,major,4,21,14-Jul-21,,,To Do
We use virustotal find sourcetree 3.4.5 has Trojan Horse on it,SRCTREEWIN-13665,bug,low,minor,3,10,13-Jul-21,,,To Do
Decode URL-encoded characters when cloning a Git repository,SRCTREEWIN-13664,suggestion,low,,2,23,13-Jul-21,,,To Do
Maximized window under taskbar,SRCTREEWIN-13662,bug,low,minor,1,26,7-Jul-21,,,To Do
Remote option in source tree not working when click on that your windows source tree application crash,SRCTREEWIN-13660,bug,low,critical,7,26,6-Jul-21,,,To Do
Force push fails silently,SRCTREEWIN-13658,bug,low,major,7,14,5-Jul-21,,,To Do
"Patch-based staging (hunk, line) fails for non-UTF8 encoded files",SRCTREEWIN-13657,bug,low,major,8,12,5-Jul-21,,,To Do
"Application crashes silently when opening a local repository, while running without admin privliges",SRCTREEWIN-13656,bug,low,critical,2,2,3-Jul-21,,,To Do
SourceTree does not offer branches for pushing,SRCTREEWIN-13655,bug,low,critical,2,14,2-Jul-21,,,To Do
Latest v3.4.5 does not pull any remote tags,SRCTREEWIN-13654,bug,low,major,4,14,1-Jul-21,,,To Do
git log failed,SRCTREEWIN-13653,bug,low,critical,7,17,1-Jul-21,,,To Do
"When I try clone my repo, the sourceTree crashed and Done",SRCTREEWIN-13652,bug,low,critical,5,11,1-Jul-21,,,To Do
"Unable to merge with GUI when the merge source branch name contains "","".",SRCTREEWIN-13651,bug,low,critical,4,29,1-Jul-21,,,To Do
"Amend commit: ""Replace commit text?"" dialog bug",SRCTREEWIN-13650,bug,low,minor,3,20,30-Jun-21,,,To Do
Commit message window resets,SRCTREEWIN-13649,bug,low,major,8,4,30-Jun-21,,,To Do
Can't push to github after access token changed,SRCTREEWIN-13648,bug,low,major,4,27,30-Jun-21,,,To Do
When do you update Putty?,SRCTREEWIN-13647,bug,low,major,7,13,30-Jun-21,,,To Do
After setting my git account in sourcetree i am getting no unix socket support while pulling branch code,SRCTREEWIN-13646,bug,low,major,5,22,30-Jun-21,,,To Do
Support multiple SSH keys,SRCTREEWIN-13645,bug,low,minor,7,28,27-Jun-21,,,To Do
SSH passphrase times out,SRCTREEWIN-13644,bug,low,minor,7,22,27-Jun-21,,,To Do
Sourctree terminal is not working with latest Sourcetree 3.4.3,SRCTREEWIN-13643,suggestion,low,,5,28,25-Jun-21,,,To Do
Files deleted after performing update of multiple files,SRCTREEWIN-13642,bug,low,major,1,18,24-Jun-21,,,To Do
"Add repository by path doesn't normalize slashes making ""Open in Explorer"" not to work",SRCTREEWIN-13641,bug,low,minor,1,8,23-Jun-21,,,To Do
"Modal dialog gets stuck behind main window, making program unusable",SRCTREEWIN-13640,bug,low,critical,1,8,22-Jun-21,,,To Do
"Opening modal popup dialogs like ""Jump to Commit"" should set focus the required text input",SRCTREEWIN-13639,suggestion,low,,1,7,22-Jun-21,,,To Do
Jump to commit by commit Id doesn't work with upper-case commit Ids,SRCTREEWIN-13638,bug,low,minor,7,6,22-Jun-21,,,To Do
Sourcetree will not start beyond splash screen,SRCTREEWIN-13637,bug,low,major,7,14,22-Jun-21,,,To Do
Gitflow Not Supported,SRCTREEWIN-13636,bug,low,major,4,3,22-Jun-21,,,To Do
Git LFS not working when file locking option is set,SRCTREEWIN-13635,bug,low,major,4,3,21-Jun-21,,,To Do
SourceTree - Settings/Preferences not saved,SRCTREEWIN-13634,bug,low,minor,7,23,20-Jun-21,,,To Do
"Make SourceTree reference the in-repo ""icon.png"" in a way that allows deleting the file",SRCTREEWIN-13633,bug,low,minor,5,14,18-Jun-21,,,To Do
Spaces and tabs in diff views are displayed in the wrong position,SRCTREEWIN-13632,bug,low,minor,5,30,17-Jun-21,,,To Do
SourceTree 3.4.5 crash on RepoHandlerGitOld.GetDefaultBranch,SRCTREEWIN-13631,bug,low,major,3,11,17-Jun-21,9-Mar-22,32335,Done
Failed to reverse merge commit,SRCTREEWIN-13630,bug,low,major,2,28,16-Jun-21,,,To Do
SourceTree crashes when cloning a repository from BitBucket,SRCTREEWIN-13629,bug,low,minor,7,7,15-Jun-21,,,To Do
AskPass.exe error,SRCTREEWIN-13628,bug,low,major,2,20,15-Jun-21,,,To Do
Crash when changing diff font size,SRCTREEWIN-13627,bug,low,major,3,18,12-Jun-21,,,To Do
sourcetree version 3.4.5 is bundling outdated pageant 0.70.2,SRCTREEWIN-13626,bug,low,major,5,18,11-Jun-21,,,To Do
Azure Devops auth not working,SRCTREEWIN-13625,bug,low,major,7,16,10-Jun-21,,,To Do
Scroll amount in tab bar.,SRCTREEWIN-13624,bug,low,minor,7,14,8-Jun-21,,,To Do
Force push setting is reset during upgrade 3.4.4 -> 3.4.5,SRCTREEWIN-13622,bug,low,minor,2,25,8-Jun-21,,,To Do
"After updating, system git no longer works with sourcetree",SRCTREEWIN-13621,bug,low,critical,4,22,7-Jun-21,,,To Do
Commit log textbox problem with new version IME for Japanese,SRCTREEWIN-13620,bug,low,minor,3,24,4-Jun-21,,,To Do
support new format of PuttyGen Release 0.75,SRCTREEWIN-13619,bug,low,major,7,16,4-Jun-21,,,To Do
Show in Explorer reopens existing folder,SRCTREEWIN-13618,bug,low,minor,1,13,3-Jun-21,,,To Do
Failed to check login for user,SRCTREEWIN-13617,bug,low,major,4,9,31-May-21,,,To Do
Push refspec not honored,SRCTREEWIN-13616,bug,high,,2,25,26-May-21,,,To Do
"Bug in the display when doing the ""git flow finish feature"".",SRCTREEWIN-13615,bug,low,minor,4,24,24-May-21,,,To Do
Local branch does not appear in push dialog box,SRCTREEWIN-13614,bug,low,minor,8,25,20-May-21,,,To Do
Sourcetree constantly asks for GitHub credentials,SRCTREEWIN-13613,bug,low,major,7,21,20-May-21,,,To Do
Ignore file patterns diff option does not work for untracked files,SRCTREEWIN-13612,bug,low,minor,8,24,18-May-21,,,To Do
Can't activate focused button with the space key,SRCTREEWIN-13611,suggestion,low,critical,5,26,18-May-21,,,To Do
Unable to remove submodules that located at folder which contains space,SRCTREEWIN-13610,bug,low,minor,3,7,18-May-21,,,To Do
SourceTree doesn't list local branches with underscore '_' as Tracked,SRCTREEWIN-13609,bug,low,minor,7,15,18-May-21,,,To Do
"An ""Open Termial"" button fails for git bash [git-scm 2.31.1]",SRCTREEWIN-13608,bug,low,minor,2,14,17-May-21,18-May-21,32357,Done
Source Tree not getting started,SRCTREEWIN-13606,bug,low,major,5,26,10-May-21,,,To Do
"Sourcetree sees changes after fresh ""git clone"" on WSL",SRCTREEWIN-13605,bug,low,minor,4,10,6-May-21,,,To Do
Global Author details do not update after closing Options,SRCTREEWIN-13604,bug,low,minor,4,6,5-May-21,,,To Do
When changing Branch working tree files do not refresh,SRCTREEWIN-13603,bug,low,minor,2,1,3-May-21,,,To Do
"After changing Bitbucket password, Source tree is no longer syncs with remote branch.",SRCTREEWIN-13602,bug,low,critical,3,24,3-May-21,,,To Do
"Files disappear in ""staged files""",SRCTREEWIN-13601,bug,low,critical,4,14,30-Apr-21,,,To Do
Name of branch on hover in History Tab,SRCTREEWIN-13600,suggestion,low,,1,27,29-Apr-21,,,To Do
Staging files deletes them instead if main working tree is not in default location.,SRCTREEWIN-13599,bug,low,critical,1,10,29-Apr-21,,,To Do
SourceTree crashes on startup for multi-user / RDP environments,SRCTREEWIN-13598,bug,low,major,7,24,29-Apr-21,,,To Do
Filter History by user,SRCTREEWIN-13597,suggestion,low,,1,10,28-Apr-21,,,To Do
Opening and closing Sourcetree causes Pageant to crash/close,SRCTREEWIN-13596,bug,low,major,1,8,26-Apr-21,27-Apr-21,32368,Done
SourceTree not working,SRCTREEWIN-13595,bug,low,major,4,8,23-Apr-21,,,To Do
Squashing With Previous ignores the last item in the list,SRCTREEWIN-13594,bug,low,critical,6,9,22-Apr-21,12-May-21,32370,Done
make branch first time not show,SRCTREEWIN-13593,bug,low,critical,8,11,21-Apr-21,,,To Do
Backgroud refresh task cause mouse no response,SRCTREEWIN-13592,bug,low,minor,8,10,19-Apr-21,,,To Do
Pending filter in File Status view does not show newly added and modified files,SRCTREEWIN-13591,bug,low,major,4,29,18-Apr-21,,,To Do
sakila,SRCTREEWIN-13590,bug,low,minor,3,21,18-Apr-21,22-Apr-21,32374,Done
Invalid Username & Password error while pull or push on the source tree,SRCTREEWIN-13589,bug,low,critical,3,11,14-Apr-21,,,To Do
Registration form: unclear error message when registrted new user,SRCTREEWIN-13588,bug,low,critical,3,13,13-Apr-21,13-Apr-21,32376,Done
Cannot push with force,SRCTREEWIN-13587,bug,low,critical,2,14,12-Apr-21,21-May-21,32377,Done
"Dream It, Be It 2022",SRCTREEWIN-13574,bug,low,minor,8,22,9-Apr-21,12-Apr-21,32378,Done
Yoshi test,SRCTREEWIN-13573,bug,low,minor,8,18,9-Apr-21,22-Apr-21,32379,Done
SourceTree display error,SRCTREEWIN-13569,bug,low,minor,1,20,5-Apr-21,,,To Do
